country,year,sector,VA,H,VA_Q
PT,2014.0,tot,151136.1,8443056.0,154138.257443094
PT,2015.0,tot,156517.6,8596143.0,156517.6
PT,2016.0,tot,161993.1,8764194.0,159090.2
PT,2017.0,tot,169642.3,8998243.0,164317.517753287
PT,2018.0,tot,177465.5,9263313.0,168758.214984412
PT,2019.0,tot,185536.3,9369864.0,173214.393065439
PT,1970.0,trd,287.94784581307437,1274465.2475195902,9025.644982642796
PT,1971.0,trd,333.4724439623438,1297728.622841534,10034.902040769386
PT,1972.0,trd,375.6349821202831,1324281.541462992,10656.709227236506
PT,1973.0,trd,459.41572111091756,1340939.390553616,11959.571883562146
PT,1974.0,trd,518.4623756812437,1377317.289267751,10397.343643476184
PT,1975.0,trd,575.8977013257343,1449136.8292603712,9909.759795150701
PT,1976.0,trd,710.7525511640131,1418698.7640167703,10509.575185205551
PT,1977.0,trd,916.0271420413327,1484088.160833946,11090.819893380185
PT,1978.0,trd,1123.2482914282778,1467483.1709038233,10975.004728703085
PT,1979.0,trd,1395.214699379123,1497260.3111556158,11240.944891185454
PT,1980.0,trd,1703.192720504693,1512489.3289277845,11833.988611972842
PT,1981.0,trd,2003.439398644646,1533539.0560187972,12059.119407416483
PT,1982.0,trd,2491.2388901736176,1475571.3091888877,12168.148079476548
PT,1983.0,trd,3042.0266564674607,1447680.6242296796,11725.883879401768
PT,1984.0,trd,3523.951362542252,1405509.2093160667,11061.287604344308
PT,1985.0,trd,4404.035599349814,1389196.4230149218,11167.30544604483
PT,1986.0,trd,5032.862005377005,1389333.2194731801,11775.609194378927
PT,1987.0,trd,5664.993156742776,1453348.2093384606,12553.612590446479
PT,1988.0,trd,6456.8452740226485,1078009.5280865035,13139.526608593378
PT,1989.0,trd,7170.493694936128,1166510.1585341946,13280.811049759828
PT,1990.0,trd,8223.913645922137,1235399.1658327922,13991.373728883676
PT,1991.0,trd,9157.755352766591,1226059.6286008176,14248.42304884905
PT,1992.0,trd,9939.54543891478,1264280.6109384564,14713.200532839213
PT,1993.0,trd,10359.10899228221,1222443.1836766428,14700.973714699632
PT,1994.0,trd,10998.689867330411,1223237.0588184805,14779.534164007084
PT,1995.0,trd,11691.0,1230112.0,15220.901827425
PT,1996.0,trd,12094.5,1219071.0,15484.9338940234
PT,1997.0,trd,13361.2,1236704.0,16681.0168444386
PT,1998.0,trd,14217.7,1317314.0,17722.737682013
PT,1999.0,trd,14705.1,1333319.0,18600.7908427359
PT,2000.0,trd,15888.9,1342501.0,19482.946797726
PT,2001.0,trd,16844.9,1419450.0,19624.3274953059
PT,2002.0,trd,17552.6,1424436.0,19758.652125325
PT,2003.0,trd,17598.8,1429822.0,19340.4611299991
PT,2004.0,trd,18216.3,1476204.0,19887.8554801168
PT,2005.0,trd,18526.7,1486691.0,19907.507187579
PT,2006.0,trd,19104.9,1516588.0,20267.7973180391
PT,2007.0,trd,20082.7,1521958.0,20448.0389714544
PT,2008.0,trd,20607.9,1516197.0,20498.5412810534
PT,2009.0,trd,21041.1,1472793.0,20374.4035498011
PT,2010.0,trd,20882.6,1452660.0,20848.1030339802
PT,2011.0,trd,21571.0,1403438.0,21034.1951109024
PT,2012.0,trd,21569.4,1330713.0,20795.3895672252
PT,2013.0,trd,22257.1,1284902.0,21641.4007842846
PT,2014.0,trd,22347.8,1346548.0,22376.5847540289
PT,2015.0,trd,22932.6,1373213.0,22932.6
PT,2016.0,trd,23352.1,1401190.0,23801.6
PT,2017.0,trd,23336.5,1423638.0,24137.6463307368
PT,2018.0,trd,23559.1,1438482.0,24492.0078516552
PT,2019.0,trd,24280.9,1445132.0,25056.8217819753
SE,1970.0,agr,15074.637081264642,582047.2332572608,42591.422264845125
SE,1971.0,agr,17261.872987269508,555499.7613755552,47560.67200524755
SE,1972.0,agr,16390.29716895308,530890.9781296295,44101.47677109202
SE,1973.0,agr,17332.779590165617,510143.0419789557,43204.94783536141
SE,1974.0,agr,23446.670660573018,487466.2845997439,46782.265244591385
SE,1975.0,agr,26169.452850001384,481895.1807087817,42692.8100450489
SE,1976.0,agr,28242.575934312143,468794.3107141356,42680.65935125365
SE,1977.0,agr,29712.712101899768,457587.53854333126,38943.85860289616
SE,1978.0,agr,29958.599770389857,463089.6594059806,39747.50063506846
SE,1979.0,agr,28393.201518466503,446179.8418662062,39721.08407011353
SE,1980.0,agr,31361.1581047363,436864.6842827404,41020.609170486
SE,1981.0,agr,34702.94639792845,420890.7293264536,41004.29157075905
SE,1982.0,agr,38158.222927317765,410426.50482943805,43173.56355115394
SE,1983.0,agr,42520.50141258977,400150.2281187074,46167.046529742875
SE,1984.0,agr,46606.35273210979,395740.338798144,47142.48893321997
SE,1985.0,agr,48724.886103071236,376742.2803752832,46150.78223276755
SE,1986.0,agr,51116.92685975426,367491.847706542,45777.786292901365
SE,1987.0,agr,51976.428758598195,340798.2446698719,42908.56076492161
SE,1988.0,agr,54169.30727922261,337256.8862319424,42427.3001842435
SE,1989.0,agr,59521.95908783746,333922.8433545018,48399.382660920615
SE,1990.0,agr,59257.500017153296,328382.2408384364,49773.647788010705
SE,1991.0,agr,52142.2212407928,304510.0069072675,45224.68241382311
SE,1992.0,agr,49245.02911078809,297542.5103054663,43556.221528699374
SE,1993.0,agr,46068.485325052105,290877.31614633836,44722.37950237621
SE,1994.0,agr,50290.695788614736,291794.5794085105,43017.34949736937
SE,1995.0,agr,55089.0,292330.0,43100.6923137752
SE,1996.0,agr,49966.0,278990.0,42404.3715208899
SE,1997.0,agr,50569.0,264510.0,43518.6680386606
SE,1998.0,agr,49761.0,253130.0,40788.0478229816
SE,1999.0,agr,48238.0,255350.0,41556.0870667696
SE,2000.0,agr,46787.0,252630.0,43184.2848476932
SE,2001.0,agr,48696.0,244760.0,44937.0571332804
SE,2002.0,agr,49360.0,241520.0,46350.7989504355
SE,2003.0,agr,50249.0,222880.0,46549.8745050849
SE,2004.0,agr,51729.0,221110.0,51267.022328522
SE,2005.0,agr,36749.0,211950.0,51051.9602966774
SE,2006.0,agr,42524.0,204080.0,53392.7737364962
SE,2007.0,agr,52408.0,207260.0,55836.1548316712
SE,2008.0,agr,53486.0,207850.0,54450.0527587815
SE,2009.0,agr,48002.0,208510.0,54480.5934906135
SE,2010.0,agr,58943.0,210950.0,54722.341051413
SE,2011.0,agr,62274.0,223890.0,56240.2656161461
SE,2012.0,agr,57911.0,227520.0,56345.9294738891
SE,2013.0,agr,56061.0,235310.0,56268.0915094625
SE,2014.0,agr,57627.0,238500.0,59891.4269895495
SE,2015.0,agr,61758.0,232920.0,61758.0
SE,2016.0,agr,61755.0,220410.0,60782.0
SE,2017.0,agr,66765.0,217540.0,64320.3578657599
SE,2018.0,agr,67248.0,225690.0,57799.2090244009
SE,2019.0,agr,70297.0,210850.0,60688.8256782797
SE,1970.0,bss,13665.604163428183,336558.8696931009,117291.37932749027
SE,1971.0,bss,14584.780703623215,347673.26863077364,120887.89285295528
SE,1972.0,bss,16549.516914745538,353424.9954153811,125546.30291992423
SE,1973.0,bss,18666.864325936727,355008.49456696014,130300.27051672943
SE,1974.0,bss,20558.07698312496,361600.2234259772,135798.1955217316
SE,1975.0,bss,22814.781073198938,364336.1600604893,140685.99848115916
SE,1976.0,bss,25003.323783564138,395548.67327989195,141189.52354349304
SE,1977.0,bss,27397.345910300755,400684.5708356056,142537.0703511462
SE,1978.0,bss,31596.048390297692,421248.9000530192,146617.77464352007
SE,1979.0,bss,35355.59799220965,431271.35286266566,151936.99669550874
SE,1980.0,bss,39018.625085549655,451378.1178388864,156066.06099526802
SE,1981.0,bss,44674.860706540145,462303.3050750879,162450.42806973113
SE,1982.0,bss,50240.93216219166,480796.34822021547,169795.0500628232
SE,1983.0,bss,56101.81985113285,489644.4139052167,174550.6761041966
SE,1984.0,bss,61625.92800405381,508033.7476191647,176449.15255111107
SE,1985.0,bss,65900.33104558593,513799.3445142497,178450.17116375745
SE,1986.0,bss,72744.33808806661,545378.5122532934,182312.48320615644
SE,1987.0,bss,80194.82568016756,578225.2324414814,189972.4992355908
SE,1988.0,bss,88362.27203960855,609228.7605396714,196898.12636362226
SE,1989.0,bss,97953.62635764005,638824.3939512764,204735.68402412752
SE,1990.0,bss,110185.99342206214,666690.5566262661,213194.62229425507
SE,1991.0,bss,126873.70085301166,665221.0692557489,217760.7291877293
SE,1992.0,bss,139491.86781634664,653718.2753541667,225662.880348042
SE,1993.0,bss,143827.15948028344,616177.2186141822,220020.5487164342
SE,1994.0,bss,157747.3879368446,642404.7683702783,233607.57395544866
SE,1995.0,bss,173794.0,676470.0,245724.2117284821
SE,1996.0,bss,191467.0,700460.0,252558.61890113738
SE,1997.0,bss,208194.0,712880.0,265414.8630174139
SE,1998.0,bss,236085.0,748630.0,284409.979492506
SE,1999.0,bss,266415.0,816200.0,308373.5132408222
SE,2000.0,bss,301672.0,886100.0,334972.719575345
SE,2001.0,bss,328381.0,922800.0,353297.50146785297
SE,2002.0,bss,337277.0,875690.0,349751.629736742
SE,2003.0,bss,350700.0,869680.0,361708.09001690696
SE,2004.0,bss,391019.0,881450.0,403885.350238011
SE,2005.0,bss,410318.0,883610.0,424970.62217105704
SE,2006.0,bss,449872.0,920170.0,472526.787044427
SE,2007.0,bss,484345.0,983340.0,504167.876418425
SE,2008.0,bss,503073.0,1028730.0,514061.63850291696
SE,2009.0,bss,493943.0,990990.0,507154.95137163997
SE,2010.0,bss,548474.0,1038430.0,564277.647037894
SE,2011.0,bss,583539.0,1079130.0,595759.507350612
SE,2012.0,bss,589416.0,1080550.0,600032.002424028
SE,2013.0,bss,621185.0,1095540.0,628366.4245441239
SE,2014.0,bss,660009.0,1119410.0,665627.9284971571
SE,2015.0,bss,719933.0,1161800.0,719933.0
SE,2016.0,bss,730656.0,1197900.0,721554.0
SE,2017.0,bss,769713.0,1227690.0,748980.166775777
SE,2018.0,bss,827400.0,1271940.0,799215.233263816
SE,2019.0,bss,883317.0,1298570.0,842138.0172253151
SE,1970.0,fin,9599.835530969844,73745.47029439204,46899.399493778394
SE,1971.0,fin,10378.35463591717,77123.71607298774,48396.74360822791
SE,1972.0,fin,11752.054671653723,79018.74300912253,50322.63075718648
SE,1973.0,fin,13046.40587555216,79401.40110806454,51884.01677785486
SE,1974.0,fin,14141.145694238485,81296.51257267271,52838.484038769304
SE,1975.0,fin,16346.23707308617,82059.8657170776,55831.74569602378
SE,1976.0,fin,17858.135571095485,91810.29433100738,55503.44779162496
SE,1977.0,fin,19336.291970045095,92946.10627265403,55802.8317248984
SE,1978.0,fin,22720.708808332754,99915.7450482873,57534.41707412434
SE,1979.0,fin,25486.975110828498,101423.93587353264,58967.494566482215
SE,1980.0,fin,28187.840881728327,107326.63035846598,60855.309311609475
